tactic_id,tactic,priority,technique_id,technique,subtechnique_id,subtechnique,is_leaf,platforms,detection_strategies,analytics,data_components_required,data_components_missing,status,hypotheses,files
TA0002,Execution,1,T1106,Native API,,,yes,Linux; macOS; Windows,DET0529,AN1465; AN1466; AN1467,Module Load; Process Access; Process Creation,Module Load; Process Access,blocked-telemetry,0,
TA0002,Execution,1,T1127,Trusted Developer Utilities Proxy Execution,,,no,Windows,DET0172,AN0488,File Creation; Module Load; Network Connection Creation; Process Creation; Process Metadata,Module Load,parent,0,
TA0002,Execution,1,T1127,Trusted Developer Utilities Proxy Execution,T1127.001,MSBuild,yes,Windows,DET0556,AN1535,File Creation; Module Load; Network Connection Creation; Process Access; Process Creation; Process Metadata; Process Modification; Script Execution,Module Load; Process Access; Process Modification,covered,1,techniques/T1127-trusted-developer-utilities-proxy-execution/T1127.001-msbuild/msbuild-inline-task-execution.yaml
TA0002,Execution,1,T1127,Trusted Developer Utilities Proxy Execution,T1127.002,ClickOnce,yes,Windows,DET0191,AN0550,Module Load; Process Creation; Process Metadata,Module Load,blocked-telemetry,0,
TA0002,Execution,1,T1127,Trusted Developer Utilities Proxy Execution,T1127.003,JamPlus,yes,Windows,DET0585,AN1610,File Creation; Network Connection Creation; Process Creation; Process Metadata,,not-covered,0,
TA0002,Execution,1,T1129,Shared Modules,,,yes,Linux; macOS; Windows,DET0018,AN0052; AN0053; AN0054,File Access; File Creation; Module Load; Network Connection Creation; Network Traffic Content; Process Creation; Process Metadata,Module Load,blocked-telemetry,0,
TA0002,Execution,1,T1197,BITS Jobs,,,yes,Windows,DET0098,AN0274,Command Execution; Network Connection Creation; Process Creation; Service Creation,,covered,1,techniques/T1197-bits-jobs/bits-job-payload-transfer.yaml
TA0002,Execution,1,T1203,Exploitation for Client Execution,,,yes,Linux; macOS; Windows,DET0287,AN0797; AN0798; AN0799,Application Log Content; File Access; File Creation; File Modification; Network Connection Creation; Network Traffic Flow; Process Creation,,not-covered,0,
TA0002,Execution,1,T1204,User Execution,,,no,Linux; Windows; macOS; IaaS; Containers,DET0478,AN1314; AN1315; AN1316; AN1317; AN1318,Application Log Content; Container Creation; Container Start; File Access; File Creation; File Modification; Instance Creation; Instance Start; Network Connection Creation; Network Traffic Content; Process Creation,Container Creation; Container Start; Instance Creation; Instance Start,parent,0,
TA0002,Execution,1,T1204,User Execution,T1204.001,Malicious Link,yes,Linux; macOS; Windows,DET0066,AN0178; AN0179; AN0180,File Creation; Network Connection Creation; Network Traffic Content; Process Creation,,covered,1,techniques/T1204-user-execution/T1204.001-malicious-link/link-opened-and-led-to-execution.yaml
TA0002,Execution,1,T1204,User Execution,T1204.002,Malicious File,yes,Linux; macOS; Windows,DET0294,AN0819; AN0820; AN0821,File Creation; File Metadata; Process Creation,,covered,1,techniques/T1204-user-execution/T1204.002-malicious-file/document-spawning-execution-chain.yaml
TA0002,Execution,1,T1204,User Execution,T1204.003,Malicious Image,yes,IaaS; Containers,DET0248,AN0691; AN0692,Command Execution; Container Creation; Container Start; Image Creation; Instance Creation; Instance Start; Network Traffic Content; Process Creation,Container Creation; Container Start; Image Creation; Instance Creation; Instance Start,out-of-scope,0,
TA0002,Execution,1,T1204,User Execution,T1204.004,Malicious Copy and Paste,yes,Linux; macOS; Windows,DET0340,AN0962; AN0963; AN0964,Command Execution; File Creation; Network Connection Creation; Network Traffic Content; Process Creation,,covered,1,techniques/T1204-user-execution/T1204.004-malicious-copy-and-paste/clipboard-delivered-command-executed.yaml
TA0002,Execution,1,T1204,User Execution,T1204.005,Malicious Library,yes,Linux; macOS; Windows,DET0252,AN0698; AN0699; AN0700,File Creation; File Metadata; Network Connection Creation; Network Traffic Content; Process Creation,,not-covered,0,
TA0002,Execution,1,T1559,Inter-Process Communication,,,no,Linux; macOS; Windows,DET0493,AN1357; AN1358; AN1359,File Access; Named Pipe Metadata; Process Access; Process Creation; Script Execution,Named Pipe Metadata; Process Access,parent,0,
TA0002,Execution,1,T1559,Inter-Process Communication,T1559.001,Component Object Model,yes,Windows,DET0224,AN0628,Module Load; Process Creation; Windows Registry Key Access,Module Load,blocked-telemetry,0,
TA0002,Execution,1,T1559,Inter-Process Communication,T1559.002,Dynamic Data Exchange,yes,Windows,DET0504,AN1393,Module Load; Process Creation; Windows Registry Key Access,Module Load,blocked-telemetry,0,
TA0002,Execution,1,T1559,Inter-Process Communication,T1559.003,XPC Services,yes,macOS,DET0335,AN0948,Named Pipe Metadata; Process Access; Process Creation,Named Pipe Metadata; Process Access,blocked-telemetry,0,
TA0002,Execution,1,T1569,System Services,,,no,Windows; macOS; Linux,DET0279,AN0778; AN0779; AN0780,File Modification; Process Creation; Service Creation; Windows Registry Key Modification,,parent,0,
TA0002,Execution,1,T1569,System Services,T1569.001,Launchctl,yes,macOS,DET0265,AN0736,Command Execution; File Modification; Process Creation; Service Creation,,not-covered,0,
TA0002,Execution,1,T1569,System Services,T1569.002,Service Execution,yes,Windows,DET0421,AN1185,Network Connection Creation; Process Creation; Service Creation; Windows Registry Key Modification,,covered,1,techniques/T1569-system-services/T1569.002-service-execution/service-created-to-execute-a-command.yaml
TA0002,Execution,1,T1569,System Services,T1569.003,Systemctl,yes,Linux,DET0073,AN0200,Command Execution; File Modification; Process Creation; Service Creation,,not-covered,0,
TA0002,Execution,1,T1574,Hijack Execution Flow,,,no,Linux; macOS; Windows,DET0218,AN0609; AN0610; AN0611,File Creation; File Modification; Module Load; Process Creation; Service Metadata; Windows Registry Key Modification,Module Load,parent,0,
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.001,DLL,yes,Windows,DET0201,AN0577,File Creation; File Metadata; Module Load; Process Creation; Windows Registry Key Modification,Module Load,covered,1,techniques/T1574-hijack-execution-flow/T1574.001-dll/dll-staged-beside-signed-application.yaml
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.004,Dylib Hijacking,yes,macOS,DET0152,AN0435,File Creation; File Modification; Module Load,Module Load,blocked-telemetry,0,
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.005,Executable Installer File Permissions Weakness,yes,Windows,DET0038,AN0108,File Creation; File Metadata; Module Load; Process Creation,Module Load,blocked-telemetry,0,
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.006,Dynamic Linker Hijacking,yes,Linux; macOS,DET0435,AN1209; AN1210,File Creation; File Modification; Module Load; Process Creation; Process Metadata,Module Load,not-covered,0,
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.007,Path Interception by PATH Environment Variable,yes,Linux; macOS; Windows,DET0004,AN0009; AN0010; AN0011,File Creation; File Modification; Process Creation; Windows Registry Key Modification,,not-covered,0,
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.008,Path Interception by Search Order Hijacking,yes,Windows,DET0564,AN1560,File Creation; File Metadata; Process Creation,,covered,1,techniques/T1574-hijack-execution-flow/T1574.008-path-interception-by-search-order-hijacking/binary-planted-earlier-in-the-search-order.yaml
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.009,Path Interception by Unquoted Path,yes,Windows,DET0064,AN0176,File Creation; File Metadata; Process Creation; Windows Registry Key Modification,,covered,1,techniques/T1574-hijack-execution-flow/T1574.009-path-interception-by-unquoted-path/unquoted-service-path-intercepted.yaml
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.010,Services File Permissions Weakness,yes,Windows,DET0436,AN1211,File Creation; File Metadata; Process Creation; Service Creation,,covered,1,techniques/T1574-hijack-execution-flow/T1574.010-services-file-permissions-weakness/service-binary-overwritten-through-weak-permissions.yaml
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.011,Services Registry Permissions Weakness,yes,Windows,DET0427,AN1195,Process Creation; Service Modification; Windows Registry Key Modification,Service Modification,blocked-telemetry,0,
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.012,COR_PROFILER,yes,Windows,DET0479,AN1319,File Creation; Module Load; Process Creation; Windows Registry Key Modification,Module Load,covered,1,techniques/T1574-hijack-execution-flow/T1574.012-cor-profiler/cor-profiler-environment-hijack.yaml
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.013,KernelCallbackTable,yes,Windows,DET0577,AN1593,OS API Execution; Process Access; Process Creation,OS API Execution; Process Access,blocked-telemetry,0,
TA0002,Execution,1,T1574,Hijack Execution Flow,T1574.014,AppDomainManager,yes,Windows,DET0517,AN1433,File Creation; Module Load; Process Creation,Module Load,blocked-telemetry,0,
TA0002,Execution,1,T1609,Container Administration Command,,,yes,Containers,DET0065,AN0177,Command Execution; Process Creation,,out-of-scope,0,
TA0002,Execution,1,T1610,Deploy Container,,,yes,Containers,DET0249,AN0693,Application Log Content; Container Start; Network Traffic Content; Process Creation,Container Start,out-of-scope,0,
TA0002,Execution,1,T1648,Serverless Execution,,,yes,SaaS; IaaS; Office Suite,DET0374,AN1053; AN1054; AN1055,Application Log Content; Cloud Service Modification,Cloud Service Modification,out-of-scope,0,
TA0002,Execution,1,T1651,Cloud Administration Command,,,yes,IaaS,DET0545,AN1502,Command Execution; Process Creation; Script Execution,,out-of-scope,0,
TA0002,Execution,1,T1674,Input Injection,,,yes,Windows; macOS; Linux,DET0568,AN1567; AN1568; AN1569,Command Execution; Drive Creation; Process Creation; Script Execution,Drive Creation,blocked-telemetry,0,
TA0002,Execution,1,T1675,ESXi Administration Command,,,yes,ESXi,DET0232,AN0646,Application Log Content,,out-of-scope,0,
TA0002,Execution,1,T1677,Poisoned Pipeline Execution,,,yes,SaaS,DET0533,AN1473,Cloud Service Metadata; Cloud Service Modification; Cloud Storage Access; Command Execution; File Metadata,Cloud Service Metadata; Cloud Service Modification; Cloud Storage Access,out-of-scope,0,
TA0003,Persistence,1,T1037,Boot or Logon Initialization Scripts,,,no,ESXi; Linux; macOS; Network Devices; Windows,DET0112,AN0311; AN0312; AN0313; AN0314; AN0315,File Access; File Metadata; File Modification; Process Creation; Scheduled Job Creation; Script Execution; Service Metadata; Windows Registry Key Modification,,parent,0,
TA0003,Persistence,1,T1037,Boot or Logon Initialization Scripts,T1037.001,Logon Script (Windows),yes,Windows,DET0072,AN0199,File Access; Logon Session Creation; Process Creation; Script Execution,,covered,1,techniques/T1037-boot-or-logon-initialization-scripts/T1037.001-logon-script-windows/logon-script-registered-in-the-user-hive.yaml
TA0003,Persistence,1,T1037,Boot or Logon Initialization Scripts,T1037.002,Login Hook,yes,macOS,DET0244,AN0682,File Modification; Process Creation,,not-covered,0,
TA0003,Persistence,1,T1037,Boot or Logon Initialization Scripts,T1037.003,Network Logon Script,yes,Windows,DET0367,AN1034,Network Share Access; Process Creation; Script Execution,,covered,1,techniques/T1037-boot-or-logon-initialization-scripts/T1037.003-network-logon-script/logon-script-served-from-a-network-share.yaml
TA0003,Persistence,1,T1037,Boot or Logon Initialization Scripts,T1037.004,RC Scripts,yes,macOS; Linux; Network Devices; ESXi,DET0237,AN0658; AN0659; AN0660; AN0661,Command Execution; File Creation; File Modification; Process Creation; Script Execution,,not-covered,0,
TA0003,Persistence,1,T1037,Boot or Logon Initialization Scripts,T1037.005,Startup Items,yes,macOS,DET0429,AN1197,File Creation; Process Creation,,not-covered,0,
TA0003,Persistence,1,T1053,Scheduled Task/Job,,,no,Containers; ESXi; Linux; macOS; Network Devices; Windows,DET0094,AN0258; AN0259; AN0260; AN0261; AN0262,Command Execution; File Creation; File Modification; Process Creation; Scheduled Job Creation,,parent,0,
TA0003,Persistence,1,T1053,Scheduled Task/Job,T1053.002,At,yes,Windows; Linux; macOS,DET0333,AN0943; AN0944; AN0945,Command Execution; File Modification; Process Creation; Scheduled Job Creation,,covered,1,techniques/T1053-scheduled-task-job/T1053.002-at/at-command-used-to-schedule-execution.yaml
TA0003,Persistence,1,T1053,Scheduled Task/Job,T1053.003,Cron,yes,Linux; macOS; ESXi,DET0290,AN0805; AN0806; AN0807,File Modification; Process Creation; Scheduled Job Creation,,covered,1,techniques/T1053-scheduled-task-job/T1053.003-cron/cron-job-created-for-untrusted-payload.yaml
TA0003,Persistence,1,T1053,Scheduled Task/Job,T1053.005,Scheduled Task,yes,Windows,DET0441,AN1221,File Creation; Process Creation; Scheduled Job Creation; Scheduled Job Modification; Windows Registry Key Modification,,covered,1,techniques/T1053-scheduled-task-job/T1053.005-scheduled-task/scheduled-task-created-for-untrusted-payload.yaml
TA0003,Persistence,1,T1053,Scheduled Task/Job,T1053.006,Systemd Timers,yes,Linux,DET0231,AN0645,File Creation; Process Creation; Scheduled Job Creation,,covered,1,techniques/T1053-scheduled-task-job/T1053.006-systemd-timers/systemd-timer-created-for-untrusted-payload.yaml
TA0003,Persistence,1,T1053,Scheduled Task/Job,T1053.007,Container Orchestration Job,yes,Containers,DET0206,AN0582,Container Creation; Network Traffic Content; Scheduled Job Creation,Container Creation,out-of-scope,0,
TA0003,Persistence,1,T1078,Valid Accounts,,,no,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,DET0560,AN1543; AN1544; AN1545; AN1546; AN1547,Logon Session Creation; Logon Session Metadata; Process Creation; User Account Authentication,,parent,0,
TA0003,Persistence,1,T1078,Valid Accounts,T1078.001,Default Accounts,yes,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,DET0465,AN1283; AN1284; AN1285; AN1286; AN1287,Logon Session Creation; Logon Session Metadata; User Account Authentication,,covered,1,techniques/T1078-valid-accounts/T1078.001-default-accounts/default-account-used-to-authenticate.yaml
TA0003,Persistence,1,T1078,Valid Accounts,T1078.002,Domain Accounts,yes,ESXi; Linux; macOS; Windows,DET0210,AN0590; AN0591; AN0592; AN0593,Logon Session Metadata; Network Connection Creation; Process Creation; User Account Authentication,,not-covered,0,
TA0003,Persistence,1,T1078,Valid Accounts,T1078.003,Local Accounts,yes,Containers; ESXi; Linux; macOS; Network Devices; Windows,DET0407,AN1137; AN1138; AN1139,Logon Session Creation; Logon Session Metadata; User Account Authentication,,not-covered,0,
TA0003,Persistence,1,T1078,Valid Accounts,T1078.004,Cloud Accounts,yes,IaaS; Identity Provider; Office Suite; SaaS,DET0546,AN1503; AN1504; AN1505; AN1506,Logon Session Creation; Logon Session Metadata; User Account Authentication,,out-of-scope,0,
TA0003,Persistence,1,T1098,Account Manipulation,,,no,Containers; ESXi; IaaS; Identity Provider; Linux; macOS; Network Devices; Office Suite; SaaS; Windows,DET0096,AN0265; AN0266; AN0267; AN0268; AN0269; AN0270,Active Directory Object Modification; File Modification; Process Creation; User Account Modification,,parent,0,
TA0003,Persistence,1,T1098,Account Manipulation,T1098.001,Additional Cloud Credentials,yes,IaaS; Identity Provider; SaaS,DET0531,AN1469; AN1470; AN1471,Active Directory Object Creation; Active Directory Object Modification; User Account Modification,,out-of-scope,0,
TA0003,Persistence,1,T1098,Account Manipulation,T1098.002,Additional Email Delegate Permissions,yes,Windows; Office Suite,DET0373,AN1051; AN1052,Application Log Content; Process Creation; User Account Modification,,not-covered,0,
TA0003,Persistence,1,T1098,Account Manipulation,T1098.003,Additional Cloud Roles,yes,IaaS; Identity Provider; Office Suite; SaaS,DET0277,AN0771; AN0772; AN0773,User Account Modification,,out-of-scope,0,
TA0003,Persistence,1,T1098,Account Manipulation,T1098.004,SSH Authorized Keys,yes,ESXi; IaaS; Linux; macOS; Network Devices,DET0126,AN0350; AN0351; AN0352; AN0353; AN0354,Command Execution; File Modification; Process Creation,,covered,1,techniques/T1098-account-manipulation/T1098.004-ssh-authorized-keys/authorized-keys-modified-for-persistence.yaml
TA0003,Persistence,1,T1098,Account Manipulation,T1098.005,Device Registration,yes,Windows; Identity Provider,DET0036,AN0103; AN0104,Active Directory Object Creation; Application Log Content; User Account Modification,,not-covered,0,
TA0003,Persistence,1,T1098,Account Manipulation,T1098.006,Additional Container Cluster Roles,yes,Containers,DET0572,AN1579,User Account Modification,,out-of-scope,0,
